,Contenidors vidre,,Contenidors paper i cartr√≥,Contenidors d'envasos,,,,,
Districtes,Total,C√rrega bilateral,C√rrega lateral,Total,C√rrega bilateral,C√rrega lateral,Total,C√rrega bilateral,C√rrega lateral
BARCELONA,3.053,991,2.062,3.065,995,2.070,3.042,987,2.055
1. Ciutat Vella,138,63,75,134,63,71,133,62,71
2. Eixample,475,0,475,473,0,473,472,0,472
3. Sants-Montju√Øc,314,143,171,314,143,171,310,141,169
4. Les Corts,188,0,188,195,0,195,192,0,192
5. Sarri√-Sant Gervasi,310,135,175,318,142,176,309,135,174
6. Gr√cia,204,95,109,202,94,108,202,94,108
7. Horta-Guinard√≥,325,204,121,325,204,121,326,205,121
8. Nou Barris,304,128,176,306,126,180,303,127,176
9. Sant Andreu,268,184,84,269,184,85,268,184,84
10. Sant Mart√≠,527,39,488,529,39,490,527,39,488
